sensor_id,project_id,logger_id,Negative_Days,Days_Above_9900,Days_Above_9500,Setup_days,Flat_days,Cnt_Days_10X,Cnt_Days_20X,Cnt_Days_30X,Cnt_Days_40X,Class
25290,2900,25288,0,0,0,2,0,93,0,11,3,A
25291,2900,25288,0,0,0,2,0,93,0,11,3,A
25293,2900,25288,0,0,0,1,0,93,0,11,3,A
25296,2899,25294,0,0,1,3,0,93,0,11,3,A
25297,2899,25294,12,6,8,2,11,78,0,11,18,A
25299,2899,25294,29,0,0,20,6,62,0,11,34,A
25302,2898,25300,0,0,0,1,0,95,0,11,1,A
25303,2898,25300,1,0,0,1,0,94,0,11,2,A
25305,2898,25300,0,0,0,0,0,96,0,11,0,A
25308,2897,25306,0,0,0,1,0,94,1,11,1,A
25309,2897,25306,0,0,0,1,0,95,0,11,1,A
25311,2897,25306,0,0,0,0,0,96,0,11,0,A
25314,2797,25312,0,0,0,3,0,101,1,2,3,A
25315,2797,25312,0,0,0,2,0,102,1,2,2,A
25317,2797,25312,0,0,0,3,0,101,1,2,3,A
25320,2798,25318,3,0,0,3,0,100,0,2,5,A
25321,2798,25318,6,0,0,5,2,96,0,2,9,A
25323,2798,25318,0,0,0,2,0,102,0,2,3,A
25332,2799,25330,14,0,0,5,0,79,1,10,17,A
25333,2799,25330,14,0,0,6,9,77,3,10,17,A
25335,2799,25330,13,0,0,11,0,73,0,12,22,A
25338,2800,25336,23,0,0,6,19,71,0,10,26,A
25339,2800,25336,9,0,0,4,6,83,0,10,14,A
25341,2800,25336,1,0,0,4,0,88,0,10,9,A
25344,2855,25342,0,2,4,2,0,97,1,4,5,A
25345,2855,25342,0,3,5,2,0,95,2,4,6,A
25347,2855,25342,0,0,0,2,0,97,2,4,4,A
25350,2854,25348,0,0,0,1,0,72,0,32,3,A
25351,2854,25348,0,0,0,2,0,71,0,32,4,A
25353,2854,25348,0,0,0,2,1,69,0,32,6,A
25356,2946,25354,4,0,0,1,1,80,0,22,5,A
25357,2946,25354,4,0,0,2,0,79,0,22,6,A
25359,2946,25354,4,0,0,1,1,80,0,22,5,A
25362,2772,25360,0,50,56,1,0,44,0,11,52,B
25363,2772,25360,0,0,0,1,0,93,0,11,3,A
25365,2772,25360,0,0,0,2,0,92,0,12,3,A
25368,2922,25366,2,0,0,4,0,93,1,6,7,A
25369,2922,25366,33,0,0,8,25,63,0,6,38,A
25371,2922,25366,2,0,0,5,0,92,0,6,9,A
25374,2856,25372,0,0,0,2,0,92,1,11,3,A
25375,2856,25372,0,0,2,2,0,93,0,11,3,A
25377,2856,25372,0,0,0,2,0,93,0,11,3,A
25380,2857,25378,2,0,0,1,0,101,0,3,3,A
25381,2857,25378,0,0,0,1,0,101,0,3,3,A
25383,2857,25378,0,0,0,2,1,99,0,3,5,A
25386,2859,25384,0,5,5,4,0,86,0,13,8,A
25387,2859,25384,0,0,0,2,0,92,1,11,3,A
25389,2859,25384,0,0,0,4,0,91,0,11,5,A
25392,2858,25390,6,0,0,1,0,88,0,11,8,A
25393,2858,25390,1,0,2,1,0,93,0,11,3,A
25395,2858,25390,3,0,0,1,2,91,0,11,5,A
25398,2861,25396,0,0,0,4,0,92,0,11,4,A
25399,2861,25396,0,0,0,3,0,93,0,11,3,A
25401,2861,25396,0,0,0,4,0,91,0,12,4,A
25404,2931,25402,4,4,5,4,0,87,0,11,9,A
25405,2931,25402,0,6,7,3,0,88,0,11,8,A
25407,2931,25402,13,8,8,3,0,74,0,11,22,A
25410,2848,25408,5,0,0,5,3,93,0,5,9,A
25411,2848,25408,31,1,1,6,28,72,0,0,35,A
25413,2848,25408,23,0,0,12,5,75,0,0,32,A
25416,2793,25414,6,0,0,5,1,89,0,10,8,A
25417,2793,25414,5,0,0,5,2,86,0,12,9,A
25419,2793,25414,9,0,0,7,5,83,0,11,13,A
25422,2930,25420,0,0,0,5,0,83,0,18,6,A
25423,2930,25420,0,0,0,4,0,84,0,18,5,A
25425,2930,25420,0,0,0,4,0,84,0,18,5,A
25428,2860,25426,0,7,8,2,0,96,1,0,10,A
25429,2860,25426,0,0,0,3,0,77,1,22,7,A
25431,2860,25426,0,0,0,3,0,91,1,8,7,A
25434,2795,25432,0,0,0,1,0,94,1,9,3,A
25435,2795,25432,0,0,0,1,0,96,0,9,2,A
25437,2795,25432,0,0,0,2,0,92,2,9,4,A
25440,2796,25438,2,0,0,2,0,94,1,9,3,A
25441,2796,25438,37,0,0,8,27,58,0,9,40,A
25443,2796,25438,0,0,0,4,0,93,1,9,4,A
25446,2794,25444,0,0,0,1,0,95,1,9,2,A
25447,2794,25444,0,0,1,3,0,94,0,9,4,A
25449,2794,25444,0,0,0,1,0,96,0,9,2,A
25452,2919,25450,4,0,0,4,0,78,0,20,9,A
25453,2919,25450,6,0,0,3,0,80,0,19,8,A
25455,2919,25450,4,6,7,5,0,73,2,19,13,A
25458,3117,25456,0,0,0,0,0,86,2,18,1,A
25459,3117,25456,0,0,0,4,0,82,1,19,5,A
25461,3117,25456,0,7,7,4,0,80,0,18,9,A
25466,2933,25464,0,0,0,1,0,101,0,4,2,A
25467,2933,25464,0,0,0,1,0,102,0,4,1,A
25469,2933,25464,0,0,0,1,0,102,0,4,1,A
25472,2932,25470,0,0,0,1,0,95,0,11,1,A
25473,2932,25470,0,0,2,2,0,93,0,11,3,A
25475,2932,25470,0,0,0,1,0,92,0,11,4,A
25478,2997,25476,0,0,0,2,0,92,1,11,3,A
25479,2997,25476,0,0,0,2,0,94,0,11,2,A
25481,2997,25476,0,0,0,2,0,91,0,11,5,A
25484,2996,25482,0,0,0,1,0,92,1,11,3,A
25485,2996,25482,0,0,0,2,0,92,0,11,4,A
25487,2996,25482,0,0,0,1,0,91,1,11,4,A
25490,3083,25488,2,0,0,5,0,90,0,11,6,A
25491,3083,25488,1,0,0,3,0,92,0,11,4,A
25493,3083,25488,0,0,0,6,0,89,0,11,7,A
25496,2832,25494,0,0,0,2,0,87,0,18,2,A
25497,2832,25494,0,0,0,1,0,87,0,18,2,A
25499,2832,25494,0,0,0,2,0,86,0,18,3,A
25502,3013,25500,3,0,0,2,0,98,0,2,7,A
25503,3013,25500,0,0,0,2,0,98,2,2,5,A
25505,3013,25500,0,0,0,2,0,97,2,2,6,A
25508,3012,25506,0,0,0,2,0,102,0,2,3,A
25509,3012,25506,0,0,0,1,0,68,2,34,3,A
25511,3012,25506,0,1,5,1,0,99,1,2,5,A
25514,3000,25512,5,0,0,5,0,94,1,2,10,A
25515,3000,25512,5,0,0,4,0,95,1,2,9,A
25517,3000,25512,0,0,0,5,6,92,0,2,13,A
25520,2998,25518,5,0,0,4,4,95,0,2,10,A
25521,2998,25518,5,0,0,4,0,87,1,2,17,A
25523,2998,25518,0,0,0,4,4,96,0,2,9,A
25527,2849,25524,0,0,0,1,0,104,0,1,2,A
25531,2850,25528,1,0,0,4,0,74,0,26,7,A
25535,2851,25532,1,0,0,3,0,64,0,37,6,A
25553,2979,25551,11,3,4,5,2,78,0,11,18,A
25556,2978,25554,0,0,0,0,0,86,0,21,0,A
25559,2977,25557,0,0,0,1,0,97,0,9,1,A
25562,2976,25560,0,0,0,3,0,93,0,9,5,A
25716,3071,25713,0,0,0,3,2,66,2,35,4,A
25718,3071,25713,0,0,0,5,2,67,1,34,5,A
25722,2995,25719,22,0,0,9,7,69,0,11,27,A
25724,2995,25719,6,0,0,7,4,85,0,11,11,A
